CACode,VaCode,Estimate,ASE,Flag
C03C,V29A,83.9,2.5,
C03C,V30A,80.3,2.7,
C03D,V00T,16.3,0,B
C03D,V01A,20.7,2.5,
C03D,V01B,19,2.4,
C03D,V01C,31,2.6,
C03D,V01D,15.9,2.6,
C03D,V01E,13.4,2.5,
C03D,V01M,7.6,0.1,
C03D,V02A,13.2,1.9,
C03D,V02B,17.6,2.4,
C03D,V02C,32,2.9,
C03D,V02D,18.5,2.7,
C03D,V02E,18.7,2.5,
C03D,V02M,8,0.1,
C03D,V03A,17.9,2.4,
C03D,V03B,18.2,2.6,
C03D,V03C,33.2,2.9,
C03D,V03D,16.3,2.3,
C03D,V03E,14.5,2.1,
C03D,V03M,7.7,0.1,
C03D,V04A,8.3,1.6,
C03D,V04B,25.8,2.8,
C03D,V04C,45.7,3.2,
C03D,V04D,20.3,2.1,
C03D,V05A,16.8,2.5,
C03D,V05B,38,3.1,
C03D,V05C,30.8,3.3,
C03D,V05D,14.4,2.2,
C03D,V06A,63.5,3.1,
C03D,V07A,88.1,1.9,
C03D,V08A,52,4.2,
C03D,V09A,67.7,3.4,
C03D,V10A,16.6,2.1,
C03D,V11A,76.9,2.9,
C03D,V11B,8.8,1.9,
C03D,V11C,5.3,1.4,
C03D,V11D,3.7,1.5,*
C03D,V11E,5.4,1.5,
C03D,V11M,3.6,0.2,
C03D,V12A,58.5,3.3,
C03D,V13A,79.1,2.4,
C03D,V14A,70.9,2.9,
C03D,V15A,76.1,2.6,
C03D,V16A,62.7,3.4,
C03D,V16B,23.2,2.9,
C03D,V16C,11.3,1.9,
C03D,V16D,2.8,1.3,*
C03D,V17A,8.5,1.6,
C03D,V17B,24.1,2.6,
C03D,V17C,53.9,3.1,
C03D,V17D,13.5,2.3,
C03D,V17M,6.8,0.1,
C03D,V18A,13.6,2.2,
C03D,V18B,21.3,2.2,
C03D,V18C,41.4,3.7,
C03D,V18D,23.8,3.1,
C03D,V18M,6.9,0.1,
C03D,V19A,9,1.8,
C03D,V19B,25.3,2.8,
C03D,V19C,47,3.2,
C03D,V19D,18.8,2.7,
C03D,V19M,6.9,0.1,
C03D,V20A,14.4,2.2,
C03D,V20B,23.6,3,
C03D,V20C,41.9,3.3,
C03D,V20D,20.2,2.7,
C03D,V20M,6.7,0.1,
C03D,V21A,39.8,3.1,
C03D,V21B,35,3.1,
C03D,V21C,21,2.8,
C03D,V21D,4.3,1.4,*
C03D,V21M,4.8,0.2,
C03D,V22A,26.8,2.9,
C03D,V22B,35.5,3.2,
C03D,V22C,29,2.8,
C03D,V22D,8.7,2,
C03D,V22M,5.5,0.2,
C03D,V23A,7.3,1.4,
C03D,V23B,9.9,1.9,
C03D,V23C,37.9,2.9,
C03D,V23D,44.9,3.4,
C03D,V23M,7.9,0.1,
C03D,V24A,87.5,2,
C03D,V25A,83.6,2.3,
C03D,V26A,88.3,1.9,
C03D,V27A,51.2,2.9,
C03D,V28A,84.2,2.2,
C03D,V29A,82.3,2.4,
C03D,V30A,84.3,2.2,
C03E,V00T,15,0,B
C03E,V01A,21.7,2.6,
C03E,V01B,16.9,2.3,
C03E,V01C,30.9,2.9,
C03E,V01D,13.4,2.2,
C03E,V01E,17.1,2.4,
C03E,V01M,7.6,0.1,
C03E,V02A,13.1,2.1,
C03E,V02B,16.4,2.3,
C03E,V02C,26.8,2.8,
C03E,V02D,16.9,2.3,
C03E,V02E,26.7,3,
C03E,V02M,8.1,0.1,
C03E,V03A,20.6,2.5,
C03E,V03B,17.9,2.5,
C03E,V03C,29.7,3,
C03E,V03D,15.7,2.1,
C03E,V03E,16.1,2.3,
C03E,V03M,7.7,0.1,
C03E,V04A,11,2.3,
C03E,V04B,23.6,2.6,
C03E,V04C,41.8,2.8,
C03E,V04D,23.6,2.6,
C03E,V05A,13.7,2.4,
C03E,V05B,38.9,3.2,
C03E,V05C,29.4,2.8,
C03E,V05D,18.1,2.4,
C03E,V06A,62.7,3,
C03E,V07A,88,2.1,
C03E,V08A,50.2,4.2,
C03E,V09A,65,3,
C03E,V10A,15.2,2.5,
C03E,V11A,81.4,2.3,
C03E,V11B,6.3,1.5,
C03E,V11C,6.3,1.7,
C03E,V11D,1.9,0.9,**
C03E,V11E,4.2,1.1,
C03E,V11M,3.3,0.2,
C03E,V12A,65.6,3.1,
C03E,V13A,79.4,3,
C03E,V14A,69.6,2.9,
C03E,V15A,68.5,2.5,
C03E,V16A,67.4,3,
