,CACode,VaCode,Estimate,ASE,Flag
647,C12B,V10A,24.4,3.9,
648,C12B,V11A,78.5,3.1,
649,C12B,V11B,7.1,2.0,
650,C12B,V11C,7.1,1.9,
651,C12B,V11D,2.9,1.3,*
652,C12B,V11E,4.4,1.3,
653,C12B,V11M,3.5,0.2,
654,C12B,V12A,62.4,3.9,
655,C12B,V13A,77.1,3.8,
656,C12B,V14A,71.2,3.7,
657,C12B,V15A,74.6,3.0,
658,C12B,V16A,57.1,3.3,
659,C12B,V16B,23.9,3.0,
660,C12B,V16C,12.7,2.4,
661,C12B,V16D,6.3,1.7,
662,C12B,V17A,19.1,2.4,
663,C12B,V17B,32.2,3.3,
664,C12B,V17C,40.4,3.6,
665,C12B,V17D,8.3,2.1,
666,C12B,V17M,6,0.1,
667,C12B,V18A,23.2,3.4,
668,C12B,V18B,32.5,3.2,
669,C12B,V18C,29,3.5,
670,C12B,V18D,15.3,2.4,
671,C12B,V18M,5.9,0.2,
672,C12B,V19A,16.6,2.5,
673,C12B,V19B,34.4,3.5,
674,C12B,V19C,35.6,3.4,
675,C12B,V19D,13.4,2.7,
676,C12B,V19M,6.3,0.1,
677,C12B,V20A,21.4,3.3,
678,C12B,V20B,26.8,2.7,
679,C12B,V20C,33.5,3.6,
680,C12B,V20D,18.4,3.1,
681,C12B,V20M,6.3,0.2,
682,C12B,V21A,50.1,3.6,
683,C12B,V21B,35.6,3.4,
684,C12B,V21C,11.1,2.4,
685,C12B,V21D,3.2,1.4,*
686,C12B,V21M,4.2,0.2,
687,C12B,V22A,35.7,3.6,
688,C12B,V22B,36.2,3.3,
689,C12B,V22C,24.6,2.8,
690,C12B,V22D,3.6,1.1,*
691,C12B,V22M,4.9,0.2,
692,C12B,V23A,14.9,2.8,
693,C12B,V23B,21.3,2.9,
694,C12B,V23C,35.8,3.9,
695,C12B,V23D,28,3.4,
696,C12B,V23M,6.9,0.2,
697,C12B,V24A,87.6,2.1,
698,C12B,V25A,86.1,2.5,
699,C12B,V26A,89.8,2.1,
700,C12B,V27A,61.4,3.4,
701,C12B,V28A,85.1,2.4,
702,C12B,V29A,84.6,2.8,
703,C12B,V30A,84,2.4,
704,C12C,V00T,8.2,1.0,
705,C12C,V01A,23.3,3.7,
706,C12C,V01B,23.5,3.9,
707,C12C,V01C,27.2,4.5,
708,C12C,V01D,9.8,3.2,*
709,C12C,V01E,16.2,3.5,
710,C12C,V01M,7.5,0.2,
711,C12C,V02A,18.8,3.8,
712,C12C,V02B,17.1,4.0,
713,C12C,V02C,25.5,5.1,
714,C12C,V02D,18.7,4.3,
715,C12C,V02E,19.8,4.1,
716,C12C,V02M,7.9,0.2,
717,C12C,V03A,17.5,4.2,
718,C12C,V03B,19.2,5.0,
719,C12C,V03C,30,4.7,
720,C12C,V03D,13,3.5,
721,C12C,V03E,20.2,4.6,
722,C12C,V03M,7.8,0.2,
723,C12C,V04A,26.5,4.9,
724,C12C,V04B,45.2,7.2,
725,C12C,V04C,23.5,5.0,
726,C12C,V04D,4.7,2.0,*
727,C12C,V05A,14.8,4.0,
728,C12C,V05B,33,4.7,
729,C12C,V05C,35.1,4.5,
730,C12C,V05D,17,4.0,
731,C12C,V06A,62.2,5.5,
732,C12C,V07A,85.6,3.1,
733,C12C,V08A,53,6.6,
734,C12C,V09A,72.7,5.3,
735,C12C,V10A,16,3.7,
736,C12C,V11A,69.7,5.1,
